match,score,home_xg_raw,away_xg_raw,home_xg_sos,away_xg_sos,totals_pick,totals_pnl,spreads_pick,spreads_pnl
Mexico vs Ghana,2-0,1.38,0.44,1.23,0.62,,0.0,home -1.0 (@2.165),1.165
Mexico vs Portugal,0-0,1.47,2.83,1.27,2.63,Over 3.5 (@2.423),-1.0,away -1.5 (@2.258),1.258
Mexico vs Iceland,4-0,1.12,0.71,0.95,0.85,,0.0,away 0.5 (@2.01),-1.0
South Africa vs Nicaragua,0-0,1.04,0.27,1.15,0.27,,0.0,home -0.5 (@1.85),-1.0
South Africa vs Panama,1-2,1.3,1.07,1.39,0.67,Over 1.5 (@2.299),1.299,away 0.5 (@1.85),0.8500000000000001
South Africa vs Cameroon,1-2,1.05,0.33,1.04,0.24,,0.0,away 1.0 (@1.842),0.8420000000000001
Zimbabwe vs South Africa,2-3,0.41,1.13,0.41,1.24,,0.0,home 1.0 (@1.842),-1.0
South Korea vs Trinidad & Tobago,5-0,1.22,1.21,1.07,1.21,Over 1.5 (@2.203),1.2029999999999998,home 0.0 (@2.09),1.0899999999999999
South Korea vs Ghana,1-0,1.5,0.4,1.35,0.6,,0.0,away 1.0 (@2.211),-1.0
South Korea vs Bolivia,2-0,1.46,0.4,1.31,0.59,,0.0,home -1.0 (@2.039),1.0390000000000001
Czech Republic vs Kosovo,2-1,1.44,1.03,1.6,1.03,Over 1.5 (@2.143),1.1429999999999998,away 0.5 (@2.01),-1.0
Czech Republic vs Đan Mạch,3-2,1.27,1.5,1.43,2.01,Over 2.0 (@2.48),1.48,home 0.5 (@1.85),0.8500000000000001
Czech Republic vs Ireland,3-2,1.24,1.39,1.29,1.15,Over 1.5 (@1.933),0.933,away 0 (@1.953),-1.0
Czech Republic vs Gibraltar,6-0,0.83,0.05,0.99,0.08,,0.0,home -0.5 (@1.842),0.8420000000000001
Quần đảo Faroe vs Czech Republic,2-1,0.75,1.2,1.12,1.36,,0.0,home 0.5 (@2.049),1.049
Czech Republic vs Croatia,0-0,1.35,2.23,1.47,1.35,Over 2.75 (@2.368),-1.0,home 1.0 (@1.981),0.9810000000000001
